OTHER OFFENSE,THEFT,CRIMINAL DAMAGE,WEAPONS VIOLATION,BATTERY,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,NARCOTICS,GAMBLING,SEX OFFENSE,ASSAULT,PUBLIC PEACE VIOLATION,BURGLARY,MOTOR VEHICLE THEFT,DECEPTIVE PRACTICE,LIQUOR LAW VIOLATION,ROBBERY,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,KIDNAPPING,PROSTITUTION,STALKING,INTIMIDATION,CRIMINAL SEXUAL ASSAULT,ARSON,RITUALISM,DOMESTIC VIOLENCE,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,CONCEALED CARRY LICENSE VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL
67,194,120,12,257,6,5.0,156,1.0,3.0,73,7,57,70,16,1,47,44,1,0.0,1,8.0,0,1,0,1.0,0.0,,1.0,0.0,,,,,,
108,261,147,11,219,7,4.0,166,2.0,5.0,92,5,78,65,46,4,42,37,0,1.0,1,9.0,2,0,0,1.0,0.0,,0.0,0.0,,,,,,
98,223,97,17,219,5,4.0,172,1.0,8.0,89,7,47,58,39,1,38,50,0,0.0,1,19.0,2,0,0,1.0,0.0,,0.0,0.0,,,,,,
85,265,110,16,182,4,7.0,185,0.0,7.0,85,11,62,54,56,8,33,41,3,0.0,1,27.0,0,1,0,1.0,0.0,,0.0,0.0,1.0,,,,,
73,263,125,16,239,9,5.0,135,2.0,4.0,86,3,58,67,46,4,39,43,2,0.0,0,16.0,2,2,0,3.0,0.0,,0.0,0.0,0.0,,,,,
84,272,162,10,211,7,5.0,171,0.0,4.0,63,3,68,65,49,9,45,34,2,4.0,2,15.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,,,,,
93,224,98,9,212,2,3.0,123,1.0,1.0,56,3,66,59,37,3,40,33,0,0.0,2,21.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
70,233,133,11,221,5,10.0,102,1.0,4.0,49,5,39,58,23,0,45,25,2,2.0,1,6.0,0,0,1,3.0,0.0,,0.0,0.0,0.0,,,,,
101,212,146,10,201,7,7.0,147,5.0,6.0,71,5,61,77,46,4,57,55,0,1.0,1,12.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,,,,,
95,252,125,7,211,4,3.0,177,1.0,11.0,83,7,61,59,46,2,36,47,0,0.0,0,10.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
123,243,121,12,173,4,2.0,153,2.0,14.0,74,7,62,61,53,7,55,40,0,2.0,4,15.0,0,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
102,239,149,16,222,6,4.0,170,0.0,6.0,80,5,54,71,48,9,40,41,0,2.0,2,25.0,0,2,0,1.0,0.0,,0.0,0.0,0.0,,,,,
66,243,143,7,222,5,5.0,152,0.0,5.0,73,16,61,60,49,4,38,38,0,1.0,4,18.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
68,211,125,9,229,4,1.0,123,0.0,7.0,66,4,45,66,34,5,30,30,1,0.0,3,13.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
66,221,132,3,242,6,7.0,133,3.0,5.0,54,2,35,61,20,1,51,23,2,1.0,3,6.0,2,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
81,234,144,14,179,4,3.0,246,2.0,3.0,63,4,47,55,24,2,44,44,0,0.0,1,13.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
91,249,146,15,225,0,6.0,147,1.0,5.0,72,4,65,60,57,7,31,45,4,1.0,2,19.0,0,0,0,5.0,0.0,,0.0,0.0,0.0,,,,,
102,216,119,11,195,7,5.0,162,3.0,3.0,87,10,61,75,52,4,40,51,0,0.0,1,17.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
75,215,111,11,196,5,2.0,157,0.0,5.0,72,3,65,58,45,3,37,38,0,1.0,4,19.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
100,243,120,8,219,7,5.0,159,0.0,1.0,70,11,64,59,44,4,36,29,0,2.0,2,15.0,2,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
73,250,167,9,239,6,6.0,162,0.0,4.0,48,3,50,73,32,2,54,32,1,3.0,2,18.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,,,,,
76,213,177,12,252,7,4.0,142,1.0,4.0,58,6,49,56,15,3,34,35,1,1.0,1,11.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
87,222,138,10,236,3,2.0,145,3.0,6.0,79,7,70,65,31,6,38,37,0,0.0,3,9.0,0,5,0,2.0,0.0,,0.0,0.0,0.0,,,,,
94,233,123,8,216,3,9.0,146,4.0,5.0,92,16,89,56,50,4,42,33,0,1.0,2,19.0,1,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
90,259,119,9,214,5,7.0,154,0.0,4.0,84,6,58,72,47,3,29,36,2,1.0,6,17.0,1,1,0,2.0,0.0,,0.0,0.0,0.0,,,,,
143,362,184,10,238,19,10.0,173,1.0,14.0,97,10,74,65,61,5,53,45,0,2.0,1,18.0,3,1,1,4.0,0.0,,0.0,0.0,0.0,,,,,
90,260,173,15,257,5,4.0,176,3.0,5.0,115,4,71,50,43,9,43,50,1,0.0,6,14.0,0,1,0,2.0,1.0,,0.0,0.0,0.0,,,,,
82,243,157,15,270,5,9.0,175,2.0,8.0,61,4,56,75,29,3,55,46,2,3.0,1,15.0,0,0,0,8.0,0.0,,0.0,0.0,0.0,,,,,
86,180,155,9,258,6,6.0,141,2.0,2.0,73,13,42,70,18,1,52,28,1,2.0,2,13.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
102,279,130,7,184,4,2.0,213,3.0,5.0,65,3,49,58,48,3,32,25,0,1.0,4,12.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
89,232,119,13,234,6,1.0,152,3.0,1.0,95,17,47,64,61,5,40,39,0,0.0,2,24.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
80,277,152,18,247,3,4.0,171,2.0,3.0,102,10,51,85,59,4,42,40,0,1.0,1,15.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
83,262,138,15,252,15,7.0,149,0.0,7.0,90,8,80,74,56,1,35,50,0,1.0,2,26.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
97,286,153,20,250,8,4.0,154,1.0,5.0,103,6,69,74,40,5,59,40,2,1.0,4,33.0,0,1,0,6.0,0.0,,0.0,0.0,0.0,,,,,
78,286,135,7,269,3,6.0,151,3.0,1.0,76,11,43,66,34,2,43,29,1,5.0,2,12.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
87,190,154,5,267,7,3.0,100,0.0,5.0,87,6,44,74,24,3,45,26,2,1.0,2,9.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
102,255,128,8,246,4,4.0,162,3.0,7.0,80,4,70,44,40,8,43,37,0,1.0,2,9.0,0,2,2,3.0,0.0,,0.0,0.0,0.0,,,,,
90,251,143,12,217,4,3.0,174,1.0,7.0,102,7,68,63,47,2,39,36,1,1.0,2,17.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
93,264,138,11,246,5,4.0,156,2.0,4.0,105,13,60,58,47,9,46,33,1,0.0,3,13.0,1,1,0,4.0,0.0,,0.0,0.0,0.0,,,,,
99,272,116,8,230,3,3.0,117,2.0,5.0,109,8,61,78,52,4,46,37,0,0.0,0,6.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
93,272,130,5,240,6,6.0,111,0.0,7.0,98,1,62,77,45,2,48,32,0,0.0,5,14.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,,,,,
71,233,112,6,219,2,4.0,103,0.0,3.0,75,7,58,73,28,3,39,28,2,1.0,3,14.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
85,202,126,13,279,9,5.0,128,1.0,6.0,72,11,57,69,24,4,45,37,1,0.0,0,13.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
90,262,139,9,240,5,5.0,172,6.0,6.0,103,11,73,77,46,6,37,31,0,1.0,1,18.0,0,2,0,3.0,0.0,,1.0,0.0,0.0,,,,,
98,257,177,15,266,6,3.0,187,1.0,5.0,96,15,59,76,42,5,42,50,0,1.0,2,24.0,0,2,0,4.0,0.0,,0.0,0.0,0.0,,,,,
94,225,142,17,274,3,4.0,183,0.0,11.0,99,15,60,75,53,5,37,45,0,2.0,4,20.0,2,0,0,2.0,0.0,,1.0,0.0,0.0,,,,,
88,235,159,10,238,11,2.0,203,6.0,4.0,108,13,55,64,56,5,37,50,0,0.0,5,21.0,1,1,0,2.0,0.0,,0.0,0.0,0.0,,,,,
96,279,182,16,271,7,8.0,166,1.0,8.0,100,16,73,75,52,13,53,33,0,2.0,5,21.0,0,2,1,2.0,0.0,,0.0,0.0,0.0,,,,,
92,266,160,8,253,3,3.0,191,1.0,6.0,55,6,63,88,25,1,55,34,0,4.0,3,16.0,4,0,0,1.0,0.0,,0.0,0.0,0.0,,,,,
100,167,159,8,202,6,8.0,122,1.0,6.0,66,10,37,83,19,4,45,24,1,2.0,1,29.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,,,,,
85,256,125,7,216,7,6.0,162,1.0,6.0,89,0,55,65,41,1,36,39,2,2.0,0,12.0,0,0,0,2.0,1.0,,0.0,0.0,0.0,,,,,
100,279,157,13,245,8,3.0,154,2.0,8.0,118,11,82,55,46,6,56,39,1,0.0,3,16.0,0,1,0,6.0,0.0,,0.0,0.0,0.0,,,,,
104,241,150,13,264,5,3.0,143,0.0,9.0,124,9,49,62,49,2,37,28,0,2.0,1,18.0,1,2,0,5.0,0.0,,0.0,0.0,0.0,,,,,
78,242,166,17,267,6,8.0,130,5.0,6.0,106,7,69,52,53,7,41,38,2,0.0,2,32.0,0,2,0,1.0,0.0,,0.0,0.0,0.0,,,,,
96,244,188,8,240,3,2.0,164,1.0,8.0,71,10,49,71,41,12,66,36,1,1.0,1,36.0,0,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
65,207,169,7,283,11,9.0,179,1.0,6.0,84,1,46,91,34,7,52,36,1,0.0,2,10.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
124,291,172,11,271,25,10.0,116,1.0,8.0,71,7,42,71,51,3,39,27,1,4.0,2,9.0,3,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
105,277,136,8,244,6,6.0,131,1.0,5.0,96,10,59,74,51,7,49,41,0,1.0,0,9.0,0,2,0,3.0,0.0,,1.0,0.0,0.0,,,,,
110,254,142,13,248,4,1.0,170,6.0,7.0,93,9,68,65,43,3,42,49,2,3.0,1,15.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
109,267,146,7,256,9,3.0,173,8.0,11.0,69,7,59,67,49,7,32,39,3,1.0,2,17.0,0,3,0,1.0,0.0,,0.0,0.0,0.0,,,,,
75,254,151,7,256,7,3.0,137,4.0,6.0,89,8,61,63,39,8,39,41,0,1.0,1,17.0,1,2,1,3.0,0.0,,0.0,0.0,0.0,,,,,
92,274,151,10,285,3,4.0,141,2.0,4.0,90,8,86,65,39,4,45,28,0,2.0,2,38.0,2,1,0,5.0,0.0,,0.0,0.0,0.0,,,,,
62,247,200,10,324,1,6.0,123,0.0,7.0,91,2,69,62,24,9,42,38,1,1.0,2,24.0,4,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
75,230,168,10,342,4,2.0,102,3.0,6.0,78,4,71,57,22,3,60,39,3,1.0,2,31.0,0,1,0,5.0,0.0,,0.0,0.0,0.0,,,,,
85,252,159,15,242,2,3.0,160,4.0,4.0,112,8,76,58,35,3,51,39,2,0.0,1,23.0,1,0,1,2.0,0.0,,0.0,0.0,0.0,,,,,
87,268,150,10,230,10,5.0,155,1.0,8.0,102,9,63,70,50,2,51,37,1,1.0,0,25.0,1,0,0,5.0,0.0,,0.0,0.0,0.0,,,,,
93,267,145,15,244,4,3.0,125,2.0,5.0,103,9,55,76,48,5,45,45,0,3.0,1,13.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
93,254,172,13,305,13,5.0,166,0.0,6.0,90,4,62,84,65,6,39,41,1,2.0,1,34.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,,,,,
78,288,186,13,252,9,2.0,145,3.0,3.0,78,5,67,76,35,9,40,27,0,4.0,2,13.0,0,1,0,0.0,0.0,,0.0,0.0,0.0,,,,,
57,262,158,14,320,7,6.0,148,1.0,3.0,81,10,59,62,31,10,51,34,1,2.0,2,22.0,1,0,0,4.0,1.0,,0.0,0.0,0.0,,,,,
74,223,179,8,282,3,12.0,98,1.0,5.0,97,4,50,72,20,4,46,27,2,2.0,4,13.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,,,,,
69,255,154,6,189,2,3.0,127,0.0,5.0,73,4,70,78,54,2,33,35,2,2.0,1,12.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,,,,,
91,226,171,10,175,11,2.0,144,1.0,5.0,68,5,54,80,46,10,38,37,0,3.0,1,12.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
95,225,165,10,249,4,2.0,152,3.0,3.0,88,5,75,83,50,4,48,50,1,3.0,1,17.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,,,,,
63,262,170,8,252,2,2.0,153,4.0,3.0,96,7,71,78,50,2,44,36,0,3.0,1,12.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
77,285,180,14,299,6,5.0,136,0.0,4.0,102,10,70,77,51,11,52,39,3,4.0,2,48.0,1,0,0,0.0,0.0,,0.0,0.0,0.0,,,,,
69,233,196,9,344,10,5.0,117,2.0,5.0,97,3,51,78,25,7,46,33,1,2.0,2,27.0,2,3,0,4.0,0.0,,0.0,0.0,0.0,,,,,
83,216,157,8,385,6,6.0,114,2.0,9.0,100,7,60,63,20,1,54,37,2,4.0,2,11.0,1,0,0,5.0,0.0,,0.0,0.0,0.0,,,,,
99,258,159,12,245,4,3.0,120,6.0,10.0,95,11,78,74,47,2,28,41,1,3.0,1,6.0,0,2,0,3.0,0.0,,0.0,0.0,0.0,,,,,
83,256,149,13,261,8,3.0,132,6.0,4.0,95,11,59,70,43,5,43,31,0,1.0,1,16.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
71,262,158,9,280,5,3.0,114,1.0,5.0,92,15,72,62,35,4,33,47,0,3.0,4,16.0,3,1,0,4.0,0.0,,0.0,0.0,0.0,,,,,
86,264,157,12,283,6,3.0,131,2.0,5.0,102,11,65,65,48,7,46,29,2,0.0,1,25.0,1,1,0,5.0,0.0,,1.0,0.0,0.0,,,,,
67,321,178,12,306,5,8.0,123,4.0,8.0,114,15,73,79,37,6,64,44,3,2.0,4,26.0,1,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
73,247,184,10,271,8,5.0,123,5.0,2.0,96,8,66,76,29,3,41,40,0,0.0,0,11.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
63,195,175,9,367,5,4.0,107,4.0,8.0,80,8,62,75,15,7,49,42,2,1.0,4,10.0,0,0,0,2.0,0.0,,0.0,0.0,1.0,,,,,
75,289,154,15,321,7,7.0,161,2.0,5.0,108,5,59,59,47,10,51,40,0,0.0,1,12.0,4,0,0,1.0,0.0,,0.0,0.0,0.0,,,,,
132,340,152,14,301,18,10.0,147,2.0,16.0,137,8,50,55,60,4,48,29,1,4.0,2,15.0,1,1,0,1.0,0.0,,0.0,0.0,0.0,,,,,
85,252,158,16,327,6,8.0,182,3.0,14.0,119,6,57,67,44,4,36,38,0,2.0,2,29.0,0,0,0,7.0,0.0,,0.0,0.0,0.0,,,,,
81,264,128,11,351,12,6.0,132,7.0,10.0,121,6,76,51,56,8,59,39,1,2.0,1,14.0,2,1,0,2.0,0.0,,0.0,0.0,0.0,,,,,
95,297,191,10,318,3,5.0,180,3.0,9.0,114,12,66,75,36,5,52,36,3,1.0,2,17.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,,,,,
86,283,183,10,326,11,7.0,80,3.0,4.0,78,5,49,75,43,9,53,30,0,0.0,0,7.0,0,0,0,5.0,0.0,,0.0,0.0,0.0,,,,,
71,236,158,10,317,6,4.0,64,4.0,4.0,74,6,58,86,18,7,55,25,1,4.0,3,7.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,,,,,
88,302,148,18,250,5,6.0,149,3.0,14.0,108,13,58,71,42,5,53,36,1,5.0,1,11.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,1.0,,,,
85,274,158,11,289,6,4.0,157,2.0,14.0,111,9,56,72,61,6,41,27,4,0.0,0,17.0,2,3,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
91,310,147,17,325,6,5.0,179,3.0,10.0,103,14,52,63,42,7,31,37,0,3.0,2,20.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,
82,252,145,21,302,8,7.0,147,3.0,2.0,86,6,71,55,47,6,34,32,2,3.0,3,18.0,0,4,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,
75,284,161,13,246,6,4.0,125,7.0,4.0,86,8,80,67,50,6,52,38,1,2.0,3,36.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
