OTHER OFFENSE,THEFT,CRIMINAL DAMAGE,WEAPONS VIOLATION,BATTERY,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,NARCOTICS,GAMBLING,SEX OFFENSE,ASSAULT,PUBLIC PEACE VIOLATION,BURGLARY,MOTOR VEHICLE THEFT,DECEPTIVE PRACTICE,LIQUOR LAW VIOLATION,ROBBERY,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,KIDNAPPING,PROSTITUTION,STALKING,INTIMIDATION,CRIMINAL SEXUAL ASSAULT,ARSON,RITUALISM,DOMESTIC VIOLENCE,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,CONCEALED CARRY LICENSE VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL
74,214,119,7,127,4,3.0,141,0.0,6.0,47,5,58,71,33,2,32,49,2,1.0,2,21.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
83,231,127,17,204,14,4.0,149,3.0,5.0,63,10,55,72,47,2,23,43,1,1.0,2,20.0,1,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
62,222,161,9,202,9,0.0,153,2.0,2.0,73,5,62,39,27,2,23,44,2,1.0,2,22.0,1,0,0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
75,186,156,6,223,10,5.0,173,5.0,1.0,76,13,79,57,43,3,34,45,0,0.0,1,35.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
92,233,195,10,234,9,4.0,152,2.0,5.0,81,9,67,60,47,3,31,53,2,1.0,2,23.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
77,202,175,12,288,8,5.0,157,2.0,2.0,76,10,54,53,31,9,37,38,3,5.0,2,19.0,0,0,0,2.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,
72,179,159,7,265,2,5.0,140,1.0,2.0,44,4,57,68,19,3,29,37,5,0.0,2,12.0,2,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,206,126,8,185,7,0.0,141,0.0,3.0,63,8,61,55,39,0,33,33,3,0.0,1,7.0,0,3,1,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
77,211,132,6,184,8,0.0,125,3.0,10.0,60,11,67,55,43,4,28,44,1,2.0,1,24.0,0,0,0,4.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
96,260,148,16,245,7,5.0,145,5.0,3.0,84,9,66,59,48,4,41,46,1,2.0,2,24.0,1,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
64,233,132,9,227,5,4.0,172,2.0,0.0,63,9,61,66,41,5,51,46,2,2.0,0,31.0,1,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,269,171,7,243,6,3.0,185,1.0,4.0,74,4,69,75,50,6,39,40,2,0.0,1,31.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
80,243,174,7,226,9,2.0,83,2.0,0.0,53,4,54,52,26,2,32,39,1,1.0,0,21.0,2,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
60,170,137,2,244,8,8.0,135,0.0,1.0,67,8,50,51,21,0,34,34,3,0.0,0,14.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
80,210,135,9,189,6,4.0,130,2.0,3.0,55,5,52,56,35,5,37,30,2,0.0,2,9.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,204,136,6,204,2,2.0,141,0.0,3.0,78,3,65,67,23,1,39,42,1,0.0,0,20.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
61,207,141,12,240,9,2.0,158,2.0,4.0,89,12,57,76,34,4,40,47,2,0.0,1,43.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
77,230,137,8,213,6,2.0,155,3.0,3.0,70,11,61,69,42,1,43,51,4,1.0,0,42.0,1,1,0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,
69,234,158,2,262,12,2.0,151,1.0,7.0,88,10,79,54,48,3,48,44,3,0.0,4,31.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,212,194,6,217,3,3.0,95,1.0,4.0,48,10,45,54,38,7,35,31,2,1.0,2,5.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
63,179,148,4,265,3,4.0,211,2.0,5.0,69,14,40,53,25,2,38,33,7,0.0,1,11.0,1,0,0,3.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,
71,270,150,11,182,7,5.0,144,0.0,4.0,59,6,73,67,34,3,42,50,5,2.0,1,17.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
78,213,140,11,181,9,3.0,175,4.0,5.0,89,8,70,63,39,2,58,42,2,2.0,0,30.0,1,2,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
94,238,162,18,231,8,1.0,147,2.0,6.0,101,13,69,68,40,5,39,40,2,0.0,0,28.0,1,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,225,151,16,273,9,2.0,175,1.0,2.0,92,17,57,49,37,7,30,40,4,3.0,0,35.0,1,1,0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
77,252,193,11,260,14,3.0,140,4.0,5.0,82,12,48,58,41,2,42,34,4,2.0,0,22.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
122,282,201,7,230,14,7.0,164,0.0,8.0,66,5,46,67,54,7,43,28,1,0.0,0,13.0,1,1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,177,162,7,245,4,5.0,139,5.0,0.0,52,5,35,40,25,2,42,33,1,2.0,1,9.0,1,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
76,212,162,7,211,4,6.0,190,5.0,3.0,60,8,61,54,25,2,40,44,0,2.0,1,10.0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
95,249,177,18,243,5,4.0,184,2.0,4.0,85,6,61,59,41,6,42,45,1,1.0,2,30.0,2,0,1,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
80,212,126,13,210,9,4.0,184,8.0,4.0,75,10,55,57,40,3,27,43,5,0.0,1,32.0,2,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
68,227,155,8,226,2,1.0,173,4.0,3.0,72,17,61,61,31,11,37,47,2,0.0,1,34.0,2,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
87,239,164,13,186,5,3.0,168,3.0,4.0,64,7,47,78,41,5,40,47,2,0.0,3,26.0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
73,236,152,6,219,10,5.0,140,1.0,5.0,56,5,43,60,26,6,36,40,3,2.0,0,25.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
70,185,179,5,237,3,3.0,143,5.0,3.0,56,10,54,51,22,2,35,24,1,1.0,0,17.0,1,0,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
73,237,179,5,211,7,4.0,103,3.0,4.0,80,8,42,62,28,6,47,26,2,0.0,1,12.0,2,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
82,204,157,9,255,1,1.0,185,5.0,9.0,78,11,70,60,39,0,42,32,1,2.0,0,22.0,0,4,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,224,134,13,250,3,5.0,149,5.0,4.0,67,7,61,54,33,1,44,42,2,0.0,0,37.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
82,224,177,16,244,4,4.0,167,2.0,3.0,79,7,54,44,29,7,34,41,6,1.0,1,28.0,0,0,0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,216,171,15,265,12,5.0,176,4.0,4.0,66,11,77,58,37,11,41,38,0,1.0,0,13.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,248,173,7,295,6,6.0,152,3.0,1.0,98,9,45,55,34,2,48,42,4,2.0,1,12.0,0,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
64,154,144,9,219,7,2.0,73,0.0,1.0,51,3,49,48,15,2,26,30,2,0.0,0,24.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
79,223,158,5,209,5,3.0,146,4.0,3.0,68,9,57,60,33,2,38,37,2,0.0,3,11.0,0,2,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,215,163,12,219,7,7.0,189,4.0,6.0,97,13,72,55,45,2,29,37,2,0.0,0,27.0,1,1,0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,
82,229,144,14,236,7,3.0,170,2.0,5.0,95,7,52,69,31,4,45,57,5,1.0,1,37.0,0,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
76,235,164,20,245,5,7.0,143,5.0,3.0,85,9,55,62,41,2,45,43,2,1.0,1,33.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
81,260,159,17,270,5,6.0,139,7.0,9.0,78,10,55,57,49,8,42,43,2,2.0,2,23.0,1,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
84,202,177,11,284,4,6.0,148,4.0,9.0,82,2,48,44,34,2,41,35,1,3.0,1,32.0,0,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
54,210,154,6,291,8,3.0,136,4.0,3.0,68,2,42,47,20,0,43,34,1,2.0,0,8.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
60,243,127,19,217,7,1.0,152,9.0,4.0,79,5,79,72,43,3,46,36,2,0.0,1,10.0,0,1,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,213,148,5,192,4,4.0,156,3.0,7.0,64,12,77,69,34,2,36,46,2,3.0,3,17.0,0,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
70,231,147,4,219,5,1.0,165,3.0,5.0,92,7,59,43,48,6,28,33,2,1.0,1,27.0,1,2,0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
65,251,136,12,227,9,0.0,194,5.0,5.0,67,6,70,59,41,0,42,45,4,2.0,3,25.0,2,1,1,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
67,248,171,15,246,8,3.0,152,8.0,8.0,90,12,75,66,41,5,33,35,2,4.0,0,18.0,2,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
72,247,158,5,238,1,7.0,135,1.0,5.0,55,2,54,67,28,3,54,37,1,2.0,2,13.0,0,0,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
75,191,144,2,197,5,5.0,119,0.0,5.0,57,2,46,55,30,2,43,36,2,2.0,1,3.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
101,340,200,5,242,21,7.0,145,2.0,13.0,75,9,88,67,45,2,45,31,1,0.0,2,12.0,1,2,2,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,227,149,10,202,7,7.0,173,13.0,3.0,98,9,58,53,38,3,30,34,1,0.0,1,25.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
84,252,131,9,267,4,5.0,201,11.0,3.0,97,9,70,67,38,3,49,31,7,2.0,1,33.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,230,136,12,237,8,4.0,186,3.0,3.0,94,9,55,54,28,3,39,44,3,3.0,1,23.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
88,254,168,10,258,7,5.0,220,4.0,2.0,92,8,75,68,49,6,43,38,1,0.0,4,22.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
62,209,167,8,236,7,8.0,140,4.0,0.0,69,9,74,51,31,4,38,34,2,2.0,1,25.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,193,160,7,276,7,3.0,94,4.0,0.0,58,5,58,50,12,1,42,28,2,2.0,0,5.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
70,233,158,12,255,11,5.0,142,2.0,3.0,89,7,65,64,43,1,52,46,1,1.0,1,10.0,0,2,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
79,238,164,12,263,5,1.0,141,11.0,4.0,90,13,63,65,37,3,43,36,1,0.0,1,19.0,1,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
87,259,153,12,234,5,10.0,160,9.0,7.0,91,8,53,51,45,3,47,59,3,1.0,1,31.0,0,3,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,234,115,10,178,4,3.0,153,0.0,4.0,65,7,78,71,45,1,28,42,3,3.0,1,17.0,0,2,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
85,267,143,8,210,7,3.0,180,0.0,3.0,70,11,92,76,44,4,39,56,2,2.0,4,18.0,1,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,233,158,9,187,2,5.0,169,3.0,4.0,52,9,57,63,30,3,57,47,0,0.0,1,42.0,1,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,185,177,7,275,11,1.0,132,6.0,1.0,64,6,61,61,18,1,37,26,2,1.0,0,13.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
92,264,145,7,231,5,2.0,151,2.0,4.0,67,10,84,65,50,1,36,41,2,1.0,0,12.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
83,270,135,13,232,2,2.0,194,6.0,3.0,88,12,79,71,34,2,35,54,2,2.0,2,22.0,0,1,0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
82,211,134,12,200,12,1.0,189,3.0,7.0,92,11,79,64,41,2,36,42,2,0.0,0,22.0,0,0,1,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
81,234,134,9,228,15,5.0,191,6.0,7.0,76,7,73,56,40,1,40,42,4,1.0,1,24.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,247,140,15,236,11,4.0,149,1.0,5.0,73,11,82,67,40,1,44,46,3,0.0,1,33.0,0,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,227,169,7,282,5,5.0,127,4.0,2.0,82,8,65,62,29,4,39,37,0,1.0,1,18.0,1,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
75,191,164,9,265,13,5.0,99,7.0,2.0,77,12,53,72,9,2,36,26,1,4.0,1,12.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
63,211,165,12,203,6,1.0,180,6.0,9.0,82,13,65,54,40,3,44,35,1,2.0,2,11.0,0,0,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
64,235,146,8,240,7,8.0,158,11.0,8.0,73,9,77,60,53,0,43,41,1,1.0,2,21.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
85,243,160,8,231,2,4.0,146,4.0,2.0,75,12,71,58,42,3,47,43,3,2.0,2,20.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
65,223,175,13,255,3,5.0,152,12.0,12.0,92,21,73,61,42,4,53,39,2,2.0,0,18.0,3,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
65,268,189,17,279,7,3.0,161,9.0,6.0,93,15,90,78,28,2,35,28,4,1.0,1,17.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,220,166,4,323,11,2.0,163,5.0,2.0,90,10,60,62,24,6,58,40,1,2.0,0,29.0,0,4,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,184,186,9,329,12,6.0,125,8.0,5.0,76,12,49,57,19,3,43,35,1,2.0,1,15.0,2,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
59,175,160,14,334,12,4.0,123,3.0,3.0,74,7,64,61,21,4,46,32,3,2.0,1,12.0,2,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
82,247,126,14,270,9,2.0,202,4.0,10.0,93,16,94,73,58,1,48,43,1,1.0,1,24.0,1,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
76,231,155,13,298,6,6.0,167,5.0,6.0,102,10,81,64,43,1,39,46,0,1.0,1,20.0,0,0,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
109,315,144,6,257,20,6.0,182,8.0,9.0,90,9,73,73,74,2,47,40,2,0.0,0,18.0,0,1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
84,229,174,9,207,8,4.0,168,9.0,4.0,85,10,62,77,47,9,53,40,3,4.0,1,18.0,2,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
52,276,200,12,253,12,4.0,196,7.0,6.0,79,13,48,56,34,4,36,35,2,1.0,0,27.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
64,207,145,12,262,8,2.0,158,7.0,3.0,69,9,60,70,26,3,35,41,0,2.0,1,9.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
72,228,170,8,243,7,3.0,145,5.0,6.0,99,11,62,55,48,3,32,32,6,2.0,2,17.0,1,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
65,229,145,12,225,2,3.0,164,8.0,11.0,74,9,73,50,58,6,36,42,1,1.0,1,32.0,1,0,1,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
56,232,161,3,249,4,4.0,197,6.0,5.0,80,14,76,64,45,6,38,46,1,2.0,3,37.0,2,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
76,247,148,9,234,4,2.0,181,8.0,6.0,79,8,64,70,37,8,37,47,0,1.0,2,26.0,0,2,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
63,276,157,12,255,5,6.0,161,11.0,7.0,76,11,62,73,32,8,54,43,0,0.0,1,19.0,0,2,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,232,173,9,232,13,5.0,146,3.0,2.0,70,6,61,68,48,4,45,35,2,2.0,1,24.0,3,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
68,214,183,14,251,8,1.0,141,9.0,2.0,47,14,58,72,19,5,51,30,1,1.0,0,10.0,0,1,0,3.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,
72,265,166,8,207,4,2.0,173,6.0,2.0,74,13,78,58,31,0,39,37,2,1.0,2,14.0,1,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
65,241,161,11,231,3,5.0,140,8.0,6.0,86,9,52,63,41,7,52,47,2,0.0,1,23.0,1,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,247,178,11,251,5,5.0,165,8.0,4.0,79,12,77,77,44,2,58,29,3,1.0,0,22.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
73,268,145,7,196,8,5.0,181,5.0,8.0,75,6,62,61,42,6,49,30,7,2.0,4,28.0,1,2,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
85,277,168,7,291,5,10.0,138,2.0,7.0,90,14,69,68,38,5,40,43,4,3.0,3,19.0,0,0,1,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
54,230,193,6,313,12,1.0,116,6.0,4.0,77,11,71,72,31,3,53,47,3,2.0,0,15.0,2,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,229,177,8,359,13,4.0,109,2.0,6.0,73,7,51,59,18,4,45,22,0,4.0,1,6.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
78,243,155,6,270,11,4.0,126,3.0,6.0,79,8,72,65,37,1,36,43,3,1.0,0,17.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
88,250,153,8,245,12,3.0,161,4.0,4.0,95,7,68,71,54,2,38,43,0,3.0,2,31.0,0,0,0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,278,136,9,237,8,2.0,144,9.0,9.0,83,5,84,73,36,5,44,44,2,0.0,3,28.0,2,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
70,245,182,11,271,6,4.0,150,8.0,4.0,93,8,87,58,37,3,52,30,1,1.0,1,23.0,2,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
80,268,169,11,223,10,3.0,204,4.0,7.0,71,12,66,69,40,4,61,37,3,1.0,0,15.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
72,225,158,10,245,4,4.0,116,7.0,6.0,67,4,65,55,26,3,41,37,2,0.0,0,8.0,0,0,0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
81,196,183,12,266,11,5.0,120,7.0,7.0,71,10,63,71,23,4,55,36,4,4.0,1,15.0,1,0,1,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,282,182,7,219,7,6.0,146,5.0,2.0,53,9,79,69,34,0,44,39,2,0.0,1,13.0,1,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
79,252,146,9,189,8,3.0,166,4.0,3.0,70,11,52,62,41,4,39,47,2,1.0,2,21.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
95,282,164,6,245,10,3.0,149,7.0,9.0,86,11,66,66,36,2,42,34,3,2.0,0,26.0,1,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
72,220,134,10,248,3,1.0,173,2.0,7.0,73,8,58,65,42,7,38,35,4,2.0,0,25.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
81,273,163,13,216,11,3.0,149,7.0,1.0,68,12,75,65,48,4,48,33,9,1.0,1,11.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
105,297,184,9,294,20,18.0,207,7.0,13.0,85,5,60,63,59,4,48,35,2,1.0,5,11.0,0,2,1,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
74,224,161,16,291,9,7.0,158,8.0,6.0,80,9,52,60,34,4,46,31,1,2.0,2,6.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
73,267,168,5,271,5,5.0,122,4.0,9.0,83,10,69,63,52,1,43,45,2,3.0,1,2.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
58,185,194,14,348,14,11.0,138,3.0,6.0,80,15,59,40,21,0,51,26,2,2.0,0,7.0,0,2,0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
81,255,175,8,280,10,4.0,153,6.0,3.0,92,13,76,52,46,4,52,41,3,2.0,2,8.0,1,2,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
79,260,143,13,219,6,3.0,141,11.0,6.0,67,11,55,63,39,2,49,42,1,2.0,0,10.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
77,275,189,9,235,10,6.0,147,5.0,6.0,84,9,94,75,54,3,63,36,2,4.0,2,10.0,1,0,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
66,220,171,7,293,4,8.0,148,6.0,2.0,95,8,76,67,36,7,45,42,2,5.0,1,8.0,1,1,0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,
85,259,196,4,280,11,5.0,136,12.0,2.0,95,15,63,44,23,2,40,34,3,2.0,0,8.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
88,249,192,14,239,4,7.0,145,4.0,5.0,75,10,79,62,41,2,49,52,3,2.0,0,32.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
88,222,153,13,192,3,3.0,134,3.0,6.0,85,7,67,49,33,4,46,39,4,2.0,0,27.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
82,301,151,11,213,5,7.0,143,4.0,3.0,76,5,81,77,41,1,37,45,0,1.0,2,24.0,2,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
79,289,164,7,227,10,8.0,209,3.0,4.0,83,7,74,60,33,4,49,53,4,1.0,0,19.0,1,0,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
93,297,137,6,245,7,4.0,141,6.0,12.0,101,6,68,70,35,1,32,43,4,2.0,0,20.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
87,294,169,13,284,12,3.0,141,6.0,9.0,80,9,76,50,28,2,46,31,1,0.0,1,12.0,0,2,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,256,147,8,300,10,6.0,113,5.0,6.0,86,16,45,60,22,5,52,35,1,4.0,0,18.0,0,0,1,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
88,301,165,13,253,5,8.0,108,1.0,4.0,95,4,86,66,50,3,43,48,3,0.0,1,15.0,1,2,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,300,163,15,256,6,4.0,226,6.0,1.0,81,10,87,83,35,5,41,44,1,0.0,1,27.0,0,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
73,300,143,11,262,6,5.0,129,3.0,3.0,81,7,76,73,36,1,54,32,2,3.0,1,35.0,0,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
71,276,151,19,191,4,4.0,150,4.0,5.0,70,6,90,65,38,6,59,40,2,0.0,1,19.0,1,0,1,5.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,
74,312,169,14,228,10,4.0,171,9.0,7.0,68,6,79,62,45,6,66,35,2,2.0,0,12.0,1,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
77,286,183,14,283,15,8.0,147,7.0,5.0,60,9,75,56,33,4,44,36,3,2.0,1,10.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
69,213,168,9,283,12,8.0,138,9.0,5.0,85,5,60,75,33,2,40,40,4,3.0,1,7.0,0,3,0,4.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
88,298,173,8,262,7,5.0,144,3.0,7.0,85,5,93,64,50,5,45,44,9,1.0,1,7.0,0,0,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
99,285,180,9,260,3,2.0,190,3.0,2.0,86,4,86,57,34,0,39,42,2,0.0,1,29.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
82,297,156,15,240,10,2.0,200,6.0,3.0,87,12,90,68,43,5,41,44,4,2.0,2,51.0,0,1,0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
87,281,185,9,216,5,2.0,159,8.0,3.0,79,13,84,64,45,1,53,39,2,6.0,0,31.0,1,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
57,318,162,12,211,7,3.0,166,2.0,4.0,72,11,73,63,39,5,36,38,1,3.0,1,17.0,0,1,0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,
76,273,186,14,277,6,7.0,158,9.0,4.0,60,8,62,63,17,3,63,30,1,2.0,0,20.0,1,0,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
99,237,187,10,290,7,5.0,135,5.0,3.0,70,10,56,49,25,3,46,38,3,4.0,2,4.0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
